ds,yhat,yhat_lower,yhat_upper
2018-01-03,45.3700276138261,34.61591776626366,55.52699640230689
2018-01-04,44.946012049106066,34.577606738777696,55.20169621720325
2018-01-05,44.61022296549989,34.48990821800331,54.57037978385433
2018-01-08,43.862388549359416,34.25215944645382,54.27956251131724
2018-01-09,43.55570921527809,32.74937867556431,53.21538366031564
2018-01-10,43.278754244551095,33.22376944544672,53.59673825221865
2018-01-11,43.06966194996589,33.47448026820284,53.29469608953571
2018-01-12,42.96536636746493,33.49280864283336,52.576410534351254
2018-01-16,42.931623572684984,33.12898826320044,53.58958799289269
2018-01-17,42.91490090219333,32.33584665534729,51.7780543617863
2018-01-18,42.96055150569197,33.37478831842565,53.10442452725806
2018-01-19,43.10189773944201,32.23126885505213,53.183442176467416
2018-01-22,43.76183159147261,33.50214243883843,53.83545337284757
2018-01-23,43.8943062279329,34.065903972956846,53.89187928385011
2018-01-24,44.03098260446875,34.46495776051439,54.348925615353416
2018-01-25,44.204288391991106,34.52278866012316,54.067263192365814
2018-01-26,44.44593954322039,34.05546187812875,54.046737900528505
2018-01-29,45.23255879907394,35.11553826148447,54.765314669239
2018-01-30,45.3478210409484,34.95272137740491,55.67795288874105
2018-01-31,45.437878239861725,35.287441882994806,55.374959771463935
2018-02-01,45.535923285306566,36.00988514298574,55.690477036672625
2018-02-02,45.67479966116956,35.24930771633741,55.73914753740445
2018-02-05,46.004246577004864,35.78986384992527,56.24662706154303
2018-02-06,45.924379982029286,36.30638193072093,56.28789210122764
2018-02-07,45.802005323019266,35.79072049673476,55.57502241497842
2018-02-08,45.6730621855575,35.206228286086464,56.35912603913278
2018-02-09,45.573296690105025,34.643558790880874,55.566712188726484
2018-02-12,45.1474997810252,34.65066140737111,55.57624091866923
2018-02-13,44.81324944934629,35.39118184024217,54.9966619147725
2018-02-14,44.440414575197195,34.33906072426156,54.88133099755357
2018-02-15,44.068007539488015,33.776820460558106,54.45522468557302
2018-02-16,43.73474999209519,33.421481082648505,54.15404586453821
2018-02-20,42.19470448999914,32.119497894628296,52.3820893458965
2018-02-21,41.67717902736922,30.640479638166497,52.66111319247007
2018-02-22,41.18407633378106,30.601156046868635,51.09071171372285
2018-02-23,40.755557383315285,31.25264280352873,50.37217238324145
2018-02-26,39.593089353832696,29.95974069298202,49.75702966546341
2018-02-27,39.106217819265204,29.580138145846334,49.851035278806435
2018-02-28,38.63064696690434,29.30320023540258,49.134181579929574
2018-03-01,38.2065079593195,27.992344796998168,48.40908437794495
2018-03-02,37.872993239964714,27.068243142333888,47.65983097771474
2018-03-05,37.137082281855584,27.34136327763544,47.723552470563696
2018-03-06,36.83313536590517,26.03033628986571,47.701731431123015
2018-03-07,36.5569529181618,26.437206891061756,46.71104007672879
2018-03-08,36.34597742363268,26.171387396929205,46.294101045704366
2018-03-09,36.23653413157068,26.696709236511243,45.70738818267354
2018-03-12,36.20783724538086,25.35419101565474,45.91962609305756
2018-03-13,36.140879578401496,25.10105517093358,46.23418557504501
2018-03-14,36.09714225981436,25.697389846165393,46.31872238203473
2018-03-15,36.111093201584666,26.313126772164953,46.45170330157098
2018-03-16,36.216236663982976,26.694286726883256,46.39977372856823
2018-03-19,36.74431714361848,27.043041349585273,46.23711088266063
2018-03-20,36.82701889947463,26.65032879069217,46.66465286199394
2018-03-21,36.912315423478056,26.896466898493106,47.218836635923495
2018-03-22,37.03362271772031,27.076228762148933,46.98024785369857
2018-03-23,37.223781396993004,27.312610450160893,47.869532204758116
2018-03-26,37.87217817108701,27.507109210706084,47.71556726307047
2018-03-27,37.951802942598704,27.43095864357523,47.116138799781616
2018-03-28,38.014220961945675,27.126063376861616,47.5518682399177
2018-03-29,38.09442548873727,28.238349459045377,47.780742377283985
2018-04-02,38.62701886754816,28.87741081069275,48.28575563832697
2018-04-03,38.606566003610126,28.728949920734287,48.238028928696686
2018-04-04,38.564548304862306,28.52919383287604,48.67873757319249
2018-04-05,38.53852001742663,27.81511431948225,48.659063755465404
2018-04-06,38.565671297106896,28.03379354410825,48.6139125718443
2018-04-09,38.67565997498866,28.62754420896778,48.39271410119489
2018-04-10,38.5739423585256,28.287847507380633,48.05152460646886
2018-04-11,38.46090357439705,29.00121571729609,48.307018077319334
2018-04-12,38.375166206039566,28.484122969861875,48.32860711788894
2018-04-13,38.35465048104484,28.427787041170063,49.06079518746311
2018-04-16,38.39600604253906,28.13633225811498,48.31420942707022
2018-04-17,38.295220953094685,27.550837477177183,48.13998415898029
2018-04-18,38.1937496971055,28.50723056117972,48.43667595640438
2018-04-19,38.12904327368515,27.29961987629424,47.76670665931083
2018-04-20,38.13762937519684,27.687596246901624,48.22819023235318
2018-04-23,38.298442132595454,27.856656990942273,48.676578486413156
2018-04-24,38.242339528498626,27.87796701045203,48.06056077622
2018-04-25,38.185025140995826,27.951763099658486,48.2158987612561
2018-04-26,38.16226723929553,28.373601658780238,48.22470108193595
2018-04-27,38.209041351827985,27.948974809477136,48.933091519168265
2018-04-30,38.44918880379817,27.83637433138514,48.67922124567132
2018-05-01,38.404760905529585,27.85380933606231,48.34885087538554
2018-05-02,38.35090828401097,28.540818180001057,48.0641171338048
2018-05-03,38.32334434169886,28.340961813452196,48.62883849683227
2018-05-04,38.35728862803951,27.79212579493083,48.791710467617236
2018-05-07,38.51749096154721,28.579664742924564,48.2664138743902
2018-05-08,38.436086315524676,27.636328559941504,48.140710096599065
2018-05-09,38.34235735325727,27.60357808222811,48.7985911720342
2018-05-10,38.27360432971494,29.177067317272023,49.115161498489975
